iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 24, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"745,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,282,835,416.32","0.43","1,282,835,416.32","18,954,424.00","67.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","1,259,493,669.92","0.42","1,259,493,669.92","13,059,868.00","96.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,254,175,254.75","0.42","1,254,175,254.75","13,820,113.00","90.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,240,123,507.48","0.42","1,240,123,507.48","9,940,073.00","124.76","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,230,732,737.70","0.42","1,230,732,737.70","33,969,990.00","36.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,210,619,798.20","0.41","1,210,619,798.20","6,506,260.00","186.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","1,205,818,937.31","0.41","1,205,818,937.31","13,700,931.00","88.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,182,574,571.54","0.40","1,182,574,571.54","63,545,114.00","18.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,133,099,683.69","0.38","1,133,099,683.69","4,760,323.00","238.03","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,120,752,460.80","0.38","1,120,752,460.80","5,956,380.00","188.16","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,082,819,289.76","0.37","1,082,819,289.76","36,880,766.00","29.36","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,075,821,981.12","0.36","1,075,821,981.12","2,504,416.00","429.57","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,041,188,728.71","0.35","1,041,188,728.71","10,910,497.00","95.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,028,274,922.50","0.35","1,028,274,922.50","5,454,750.00","188.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,021,349,683.16","0.34","1,021,349,683.16","5,390,846.00","189.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","1,009,856,694.66","0.34","1,009,856,694.66","8,060,154.00","125.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,007,575,708.92","0.34","1,007,575,708.92","10,245,838.00","98.34","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","1,006,790,551.74","0.34","1,006,790,551.74","4,639,374.00","217.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","990,264,309.55","0.33","990,264,309.55","5,013,235.00","197.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","981,743,609.16","0.33","981,743,609.16","2,934,783.00","334.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","977,787,393.05","0.33","977,787,393.05","11,647,259.00","83.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","972,351,009.63","0.33","972,351,009.63","2,129,127.00","456.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","963,053,679.54","0.32","963,053,679.54","8,229,118.00","117.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","961,224,427.68","0.32","961,224,427.68","2,025,592.00","474.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","943,610,696.46","0.32","943,610,696.46","3,018,878.00","312.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","941,198,271.31","0.32","941,198,271.31","11,858,363.00","79.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","931,729,752.50","0.31","931,729,752.50","2,410,685.00","386.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","898,377,559.01","0.30","898,377,559.01","7,515,917.00","119.53","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","889,347,120.00","0.30","889,347,120.00","11,116,839.00","80.00","United States","NASDAQ","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","887,279,907.65","0.30","887,279,907.65","9,710,845.00","91.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","864,268,314.00","0.29","864,268,314.00","345,800.00","2,499.33","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","860,942,529.84","0.29","860,942,529.84","1,335,043.00","644.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","848,086,837.19","0.29","848,086,837.19","4,518,551.00","187.69","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","848,033,148.90","0.29","848,033,148.90","5,307,505.00","159.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","839,090,550.48","0.28","839,090,550.48","12,153,687.00","69.04","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","838,656,450.72","0.28","838,656,450.72","11,447,672.00","73.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","831,654,050.25","0.28","831,654,050.25","3,005,725.00","276.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","828,584,891.82","0.28","828,584,891.82","4,150,811.00","199.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","800,972,230.66","0.27","800,972,230.66","3,123,673.00","256.42","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","790,972,023.31","0.27","790,972,023.31","3,693,887.00","214.13","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","785,898,660.00","0.27","785,898,660.00","958,413.00","820.00","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","783,422,160.30","0.26","783,422,160.30","1,809,707.00","432.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","771,246,801.02","0.26","771,246,801.02","10,301,146.00","74.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","752,651,396.28","0.25","752,651,396.28","5,280,282.00","142.54","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","745,156,413.56","0.25","745,156,413.56","10,086,037.00","73.88","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","744,370,540.92","0.25","744,370,540.92","17,266,772.00","43.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","732,242,463.84","0.25","732,242,463.84","5,214,288.00","140.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","724,225,858.32","0.24","724,225,858.32","13,597,932.00","53.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","720,562,702.21","0.24","720,562,702.21","2,291,939.00","314.39","United States","NASDAQ","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","708,395,773.68","0.24","708,395,773.68","4,412,856.00","160.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","699,904,742.63","0.24","699,904,742.63","15,917,779.00","43.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","692,847,896.29","0.23","692,847,896.29","2,662,649.00","260.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","690,255,520.50","0.23","690,255,520.50","3,700,110.00","186.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","682,162,153.70","0.23","682,162,153.70","4,154,965.00","164.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","665,691,396.89","0.22","665,691,396.89","9,705,371.00","68.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","647,796,730.95","0.22","647,796,730.95","6,864,435.00","94.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","641,064,079.56","0.22","641,064,079.56","4,103,598.00","156.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Financials","Equity","636,995,298.48","0.21","636,995,298.48","5,661,174.00","112.52","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","615,713,947.00","0.21","615,713,947.00","12,768,850.00","48.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","608,694,918.00","0.21","608,694,918.00","2,530,956.00","240.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","603,948,056.40","0.20","603,948,056.40","1,202,940.00","502.06","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","594,945,765.04","0.20","594,945,765.04","9,727,694.00","61.16","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","588,625,393.70","0.20","588,625,393.70","3,206,894.00","183.55","United States","NASDAQ","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","583,896,366.00","0.20","583,896,366.00","1,282,584.00","455.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","580,177,928.92","0.20","580,177,928.92","3,545,453.00","163.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","573,231,705.60","0.19","573,231,705.60","2,474,880.00","231.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","566,108,750.04","0.19","566,108,750.04","1,831,119.00","309.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","564,290,741.75","0.19","564,290,741.75","12,660,775.00","44.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","562,379,322.20","0.19","562,379,322.20","824,966.00","681.70","United States","NASDAQ","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","559,776,857.77","0.19","559,776,857.77","1,114,139.00","502.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
